0,1,2,3,4,5,6,7,8,9,10,,,
Вересень,10.09,3,ср,"Свв. мцц. Минодори, Митродори й Німфодори","святих мучениць Минодори, Митродори й Німфодори",так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, якої Різдво торжественне свято звершуємо,","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святих мучениць Минодори, Митродори й Німфодори, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, і святого, якого є храм, і святих мучениць Минодори, Митродори й Німфодори, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва сьогодні торжественне свято світло звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, ",
Вересень,11.09,4,чт,Прп. Теодори Олександрійської,преподобної матері нашої Теодори Олександрійської,так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, якої Різдво торжественне свято звершуємо,","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і преподобної матері нашої Теодори Олександрійської, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, і святого, якого є храм, і преподобної матері нашої Теодори Олександрійської, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва сьогодні торжественне свято світло звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, ",
Вересень,12.09,5,пт,Св. сщмч. Автонома Віддання Різдва Пресв. Богородиці</i>,святого священномученика Автонома,так,віддання,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого священномученика Автонома, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, якої Різдва свято звершуємо, святих славних і всехвальних апостолів, і святого, якого є храм, і святого священномученика Автонома, і всіх святих - помилує і спасе нас як благий і людинолюбний.",,
Вересень,13.09,6,сб,"Субота перед Воздвиженям 🕃 Пам’ять оновл. храму Св. Воскресіння Христа і Бога нашого Предсвяття Воздвиження чесного й животворного Хреста Св. сщмч. Корнилія, сотника",,так,свято,,,"Священник: Христос, істинний Бог наш, що задля нас увесь Свій задум сповнив і благозволив, щоб споруджений в Єрусалимі собор освяченно було в ім'я святого Його Воскресіння - молитвами пречистої Своєї Матері, силою чесного і животворчого Хреста, заступництвом чесних небесних сил безтілесних, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святих славних і переможних мучеників, преподобних і богоносних отців наших, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого священномученика Корнилія, сотника, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш, що задля нас увесь Свій задум сповнив і благозволив, щоб споруджений в Єрусалимі собор освяченно було в ім'я святого Його Воскресіння - молитвами пречистої Своєї Матері, силою чесного і животворчого Хреста, заступництвом чесних небесних сил безтілесних, чесного і славного пророка, предтечі і хрестителя Івана, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святих славних і переможних мучеників, преподобних і богоносних отців наших, і святого, якого є храм, і святого священномученика Корнилія, сотника, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш, що задля нас увесь Свій задум сповнив і благозволив, щоб споруджений в Єрусалимі собор освяченно було в ім'я святого Його Воскресіння - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого священномученика Корнилія, сотника,",
Вересень,14.09,7,нд,Неділя 14-та по Зісланні Святого Духа. 🕀 Всесвітнє Воздвиження чесного й животворного Хреста,,так,свято,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, і святого, якого є храм, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм,",
Вересень,15.09,1,пн,🕃 Св. вмч. Микити,святого великомученика Микити,так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо,","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого великомученика Микити, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святого великомученика Микити, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, ",
Вересень,16.09,2,вв,🕃 Св. вмц. Євфимії всехвальної,святої великомучениці Євфимії всехвальної,так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо,","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святої великомучениці Євфимії всехвальної, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святої великомучениці Євфимії всехвальної, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, ",
Вересень,17.09,3,ср,"Св. мц. Софії і трьох її дочок: Віри, Надії й Любові","святої мучениці Софії і трьох її дочок: Віри, Надії й Любові",так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо,","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святої мучениці Софії і трьох її дочок: Віри, Надії й Любові, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святої мучениці Софії і трьох її дочок: Віри, Надії й Любові, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, ",
Вересень,18.09,4,чт,"Прп. Євменія, єп. Гортинського, чудотв.","преподобного отця нашого Євменія, єпископа Гортинського, чудотворця",так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо,","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і преподобного отця нашого Євменія, єпископа Гортинського, чудотворця, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і преподобного отця нашого Євменія, єпископа Гортинського, чудотворця, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, ",
Вересень,19.09,5,пт,"Свв. мчч. Трофима, Савватія й Доримедонта","святих мученків Трофима, Савватія й Доримедонта",так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо,","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святих мученків Трофима, Савватія й Доримедонта, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святих мученків Трофима, Савватія й Доримедонта, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, ",
Вересень,20.09,6,сб,"Субота по Воздвиженні 🕃 Свв. мчч. та ісп. – вел. князя Михаїла та боярина його Теодора, чернігівських чудотв. 🕃 Св. вмч. Євстатія і тих, що з ним","святих мучеників та ісповідників – великого князя Михаїла та боярина його Теодора, чернігівських чудотворців, святого великомученика Євстатія і тих, що з ним",так,посвяття,"молитвами пречистої своєї Матері,","молитвами пречистої своєї Матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо,","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святих мучеників та ісповідників – великого князя Михаїла та боярина його Теодора, чернігівських чудотворців, святого великомученика Євстатія і тих, що з ним, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святих мучеників та ісповідників – великого князя Михаїла та боярина його Теодора, чернігівських чудотворців, святого великомученика Євстатія і тих, що з ним, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Христос, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого сьогодні всесвітнє воздвиження світло святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, ",
Вересень,21.09,7,нд,"Неділя по Воздвиженні Св. ап. Кодрата, що в Магнисії Віддання Воздвиження чесного й животворного Хреста</i>","святого апостола Кодрата, що в Магнисії",так,віддання,,,"Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого апостола Кодрата, що в Магнисії, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї матері, силою чесного і животворного Хреста, якого всесвітнє воздвиження святкуємо, і святого, якого є храм, і святого апостола Кодрата, що в Магнисії, і всіх святих - помилує і спасе нас як благий і людинолюбний.",,
Вересень,22.09,1,пн,"Св. сщмч. Фоки, єп. Синопійського Св. прор. Йони Прп. Йони, пресвіт.","святого священномученика Фоки, єпископа Синопійського, святого пророка Йони, преподобного Йони, пресвітера",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, заступництвом чесних небесних сил безтілесних, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого священномученика Фоки, єпископа Синопійського, святого пророка Йони, преподобного Йони, пресвітера, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, заступництвом чесних небесних сил безтілесних, святих славних і всехвальних апостолів, і святого, якого є храм, і святого священномученика Фоки, єпископа Синопійського, святого пророка Йони, преподобного Йони, пресвітера, і всіх святих - помилує і спасе нас як благий і людинолюбний.",,
