month,date,day,special,тропар1,тропар2,слава,І нині,
1,2024.01.30,2,y,,,,,
1,2024.01.31,3,n,,,,,
2,2024.02.01,4,y,,,,,
2,2024.02.02,5,y,,,,,
2,2024.02.03,6,y,,,,,
2,2024.02.04,7,y,,,,,
2,2024.02.05,1,y,,,,,
2,2024.02.06,2,y,,,,,
2,2024.02.07,3,y,,,,,
2,2024.02.08,4,y,,,,,
2,2024.02.09,5,y,,,,,
2,2024.02.10,6,,,saint,,theotokos,
2,2024.02.11,7,,,resurrection,,theotokos,
2,2024.02.12,1,,,saint,,theotokos,
2,2024.02.13,2,,,saint,,theotokos,
2,2024.02.14,3,,,saint,,theotokos,
2,2024.02.15,4,,,saint,,theotokos,
2,2024.02.16,5,,,saint,,theotokos,
2,2024.02.17,6,,,saint,,theotokos,
2,2024.02.18,7,,,resurrection,,theotokos,
2,2024.02.19,1,,,saint,,theotokos,
2,2024.02.20,2,,,saint,,theotokos,
2,2024.02.21,3,,,saint,,theotokos,
2,2024.02.22,4,,,saint,,theotokos,
2,2024.02.23,5,,,saint,,theotokos,
2,2024.02.24,6,y,,,,,
2,2024.02.25,7,,,resurrection,,theotokos,
2,2024.02.26,1,,,saint,,theotokos,
2,2024.02.27,2,,,saint,,theotokos,
2,2024.02.28,3,,,saint,,theotokos,
2,2024.02.29,4,,,saint,,theotokos,
3,2024.03.01,5,y,,,,,
3,2024.03.02,6,y,,,,,
3,2024.03.03,7,,,resurrection,,theotokos,
3,2024.03.04,1,y,,,,,
3,2024.03.05,2,y,,,,,
3,2024.03.06,3,y,,,,,
3,2024.03.07,4,y,,,,,
3,2024.03.08,5,y,,,,,
3,2024.03.09,6,y,,,,,
3,2024.03.10,7,,,resurrection,,theotokos,
3,2024.03.11,1,y,,,,,
3,2024.03.12,2,y,,,,,
3,2024.03.13,3,y,,,,,
3,2024.03.14,4,y,,,,,
3,2024.03.15,5,y,,,,,
3,2024.03.16,6,y,,,,,
3,2024.03.17,7,,,resurrection,,theotokos,
3,2024.03.18,1,y,,,,,
3,2024.03.19,2,y,,,,,
3,2024.03.20,3,y,,,,,
3,2024.03.21,4,y,,,,,
3,2024.03.22,5,y,,,,,
3,2024.03.23,6,y,,,,,
3,2024.03.24,7,v,,resurrection,,theotokos,
3,2024.03.25,1,y,,,,,
3,2024.03.26,2,y,,,,,
3,2024.03.27,3,y,,,,,
3,2024.03.28,4,y,,,,,
3,2024.03.29,5,y,,,,,
3,2024.03.30,6,y,,,,,
3,2024.03.31,7,v,,resurrection,,theotokos,
4,2024.04.01,1,y,,,,,
4,2024.04.02,2,y,,,,,
4,2024.04.03,3,y,,,,,
4,2024.04.04,4,y,,,,,
4,2024.04.05,5,y,,,,,
4,2024.04.06,6,y,,,,,
4,2024.04.07,7,y,,,,,
4,2024.04.08,1,n,,saint,,,
4,2024.04.09,2,n,,saint,,,
4,2024.04.10,3,n,,saint,,,
4,2024.04.11,4,n,,saint,,,
4,2024.04.12,5,n,,saint,,,
4,2024.04.13,6,n,,saint,,,
4,2024.04.14,7,y,,,,,
4,2024.04.15,1,n,,saint,,,
4,2024.04.16,2,n,,saint,,,
4,2024.04.17,3,n,,saint,,,
4,2024.04.18,4,n,,saint,,,
4,2024.04.19,5,n,,saint,,,
4,2024.04.20,6,n,,saint,,,
4,2024.04.21,7,y,,,,,
4,2024.04.22,1,n,,saint,,theotokos,
4,2024.04.23,2,n,,saint,,theotokos,
4,2024.04.24,3,y,,,,,
4,2024.04.25,4,n,,saint,,theotokos,
4,2024.04.26,5,n,,saint,,theotokos,
4,2024.04.27,6,n,,saint,,theotokos,
4,2024.04.28,7,y,,,,,
4,2024.04.29,1,n,,saint,,theotokos,
4,2024.04.30,2,n,,saint,,theotokos,
5,2024.05.01,3,y,,,,,
5,2024.05.02,4,n,,resurrection,saint,theotokos,
5,2024.05.03,5,n,,resurrection,saint,theotokos,
5,2024.05.04,6,n,,resurrection,saint,theotokos,
5,2024.05.05,7,y,,,,,
5,2024.05.06,1,n,,resurrection,saint,theotokos,
5,2024.05.07,2,n,,resurrection,saint,theotokos,
5,2024.05.08,3,n,,resurrection,saint,theotokos,
5,2024.05.09,4,y,,,,,
5,2024.05.10,5,n,,triodion,saint,triodion,
5,2024.05.11,6,n,,triodion,saint,triodion,
5,2024.05.12,7,y,,,,,
5,2024.05.13,1,n,,triodion,saint,triodion,
5,2024.05.14,2,n,,triodion,saint,triodion,
5,2024.05.15,3,n,,triodion,saint,triodion,
5,2024.05.16,4,n,,triodion,saint,triodion,
5,2024.05.17,5,y,,,,,
5,2024.05.18,6,y,,,,,
5,2024.05.19,7,y,,,,,
5,2024.05.20,1,y,,,,,
5,2024.05.21,2,n,,triodion,saint,triodion,
5,2024.05.22,3,n,,triodion,saint,triodion,
5,2024.05.23,4,n,,triodion,saint,triodion,
5,2024.05.24,5,n,,triodion,saint,triodion,
5,2024.05.25,6,n,,triodion,saint,triodion,
5,2024.05.26,7,y,,,,,
5,2024.05.27,1,n,,saint,,theotokos,
5,2024.05.28,2,n,,saint,,theotokos,
5,2024.05.29,3,n,,saint,,theotokos,
5,2024.05.30,4,y,,,,,
5,2024.05.31,5,n,,saint,,theotokos,
6,2024.06.01,6,n,,saint,,theotokos,
6,2024.06.02,7,y,,,,,
6,2024.06.03,1,n,,saint,,theotokos,
6,2024.06.04,2,n,,saint,,theotokos,
6,2024.06.05,3,n,,saint,,theotokos,треба виправити устав. в нас лиш 1 святий
6,2024.06.06,4,n,,saint,saint,theotokos,
6,2024.06.07,5,y,,,,,
6,2024.06.08,6,y,,,,,
6,2024.06.09,7,n,,resurrection,saint,theotokos,
6,2024.06.10,1,n,,saint,,theotokos,
6,2024.06.11,2,y,,,,,вв
6,2024.06.12,3,n,,saint,saint,theotokos,святий на 6?
6,2024.06.13,4,n,,saint,,theotokos,
6,2024.06.14,5,n,,saint,saint,theotokos,
6,2024.06.15,6,n,,saint,,theotokos,
6,2024.06.16,7,n,,resurrection,saint,theotokos,
6,2024.06.17,1,n,,saint,,theotokos,
6,2024.06.18,2,n,,saint,,theotokos,
6,2024.06.19,3,y,,,,,юди
6,2024.06.20,4,n,,saint,,theotokos,
6,2024.06.21,5,n,,saint,,theotokos,
6,2024.06.22,6,n,,saint,,theotokos,
6,2024.06.23,7,n,,resurrection,saint,theotokos,
6,2024.06.24,1,y,,,,,Предт.
6,2024.06.25,2,y,,,,,посв
6,2024.06.26,3,n,,saint,,theotokos,
6,2024.06.27,4,y,,,,,Мчч
6,2024.06.28,5,y,,,,,безср
6,2024.06.29,6,y,,,,,ПП
6,2024.06.30,7,n,,resurrection,saint,theotokos,
7,2024.07.01,1,n,,saint,,theotokos,
7,2024.07.02,2,y,,,,,Положення
7,2024.07.03,3,n,,saint,,theotokos,
7,2024.07.04,4,y,,,,,Євхаристії
7,2024.07.05,5,y,,,,,Атанасія
7,2024.07.06,6,n,,saint,,theotokos,
7,2024.07.07,7,n,,resurrection,saint,theotokos,
7,2024.07.08,1,n,,saint,,theotokos,
7,2024.07.09,2,n,,saint,,theotokos,
7,2024.07.10,3,y,,,,,Антонія
7,2024.07.11,4,y,,,,,Ольги
7,2024.07.12,5,y,,,,,Найсвятішого Серця
7,2024.07.13,6,y,,,,,Сострадання
7,2024.07.14,7,n,,resurrection,saint,theotokos,отців 6 соборів
7,2024.07.15,1,y,,,,,Володимира
7,2024.07.16,2,n,,saint,,theotokos,
7,2024.07.17,3,n,,saint,,theotokos,
7,2024.07.18,4,n,,saint,,theotokos,
7,2024.07.19,5,n,,saint,saint,theotokos,2
7,2024.07.20,6,y,,,,,Іллі
7,2024.07.21,7,n,resurrection,saint,saint,theotokos,2
7,2024.07.22,1,n,,saint,saint,theotokos,2
7,2024.07.23,2,n,,saint,,theotokos,
7,2024.07.24,3,y,,,,,Бориса і Гліба
7,2024.07.25,4,y,,,,,Анни
7,2024.07.26,5,n,,saint,saint,theotokos,2
7,2024.07.27,6,y,,,,,Пантелеймона
7,2024.07.28,7,n,,resurrection,saint,theotokos,
7,2024.07.29,1,n,,saint,,theotokos,
7,2024.07.30,2,n,,saint,,theotokos,
7,2024.07.31,3,n,,saint,saint,theotokos,2
8,2024.08.01,4,n,,saint,,feast,
8,2024.08.02,5,n,,saint,,theotokos,
8,2024.08.03,6,n,,saint,,theotokos,
8,2024.08.04,7,n,,resurrection,saint,theotokos,
8,2024.08.05,1,y,,,,,передсв. Преобр.
8,2024.08.06,2,y,,,,,Преобр.
8,2024.08.07,3,y,,,,,
8,2024.08.08,4,y,,,,,
8,2024.08.09,5,y,,,,,
8,2024.08.10,6,y,,,,,
8,2024.08.11,7,n,,resurrection,saint,feast,
8,2024.08.12,1,y,,,,,
8,2024.08.13,2,y,,,,,віддання Преобр.
8,2024.08.14,3,y,,,,,"Теодосія, передсв. Успіння"
8,2024.08.15,4,y,,,,,
8,2024.08.16,5,y,,,,,
8,2024.08.17,6,y,,,,,
8,2024.08.18,7,n,,resurrection,saint,feast,
8,2024.08.19,1,y,,,,,
8,2024.08.20,2,y,,,,,
8,2024.08.21,3,y,,,,,
8,2024.08.22,4,y,,,,,
8,2024.08.23,5,y,,,,,віддання Успіння
8,2024.08.24,6,y,,,,,
8,2024.08.25,7,n,,resurrection,saint,theotokos,
8,2024.08.26,1,n,,saint,,theotokos,
8,2024.08.27,2,n,,saint,,theotokos,
8,2024.08.28,3,n,,saint,,theotokos,
8,2024.08.29,4,y,,,,,Усікновення
8,2024.08.30,5,n,,saint,,theotokos,
8,2024.08.31,6,y,,,,,положення ризи
